id	hypothesis	prediction	test	result	status	notes
H01	dotnet is only a loader stub	dotnet run does not call managed entry points	Trace Swift handler to native host	dotnet run calls compileAndRun, Roslyn csc.dll, then mono_jit_exec	ruled-out	The implementation is incomplete in stream/thread integration, not a no-op stub
H02	dotnet help/info output stays buffered	Handlers write without fflush while errors use a flushed helper	Compare all output branches and Executor pipe lifecycle	Help/info fputs calls have no fflush; command returns immediately	suspect	Fix with one output helper that always flushes
H03	managed stdout is disconnected from terminal pipe	Mono Console.Out writes fd 1/2 while ios_system terminal reads thread_stdout/thread_stderr fds	Search host for dup2/fileno or Mono stdout callbacks	No bridge exists anywhere in C# handler/host	confirmed	Directly explains invisible compiler/program output
H04	csrun blocks the main/UI thread	Handler executes on main queue	Trace Executor.execute queue	ios_system runs on a dedicated utility DispatchQueue	ruled-out	UI deadlock hypothesis does not match code
H05	unconditional detach of Mono initialization thread hangs/corrupts first execution	Root thread created by mono_jit_init is attached already and must not be detached	Trace attach/detach around singleton initialization	Host always attaches then detaches, including first/root thread	suspect	Use mono_thread_current and detach only a thread attached by this invocation
H06	Swift NSLock and C pthread mutex recursively deadlock	A call path re-enters either lock before returning	Trace compileAndRun and native calls	Calls are sequential; neither lock is recursively entered	ruled-out	Locks serialize execution but do not form the observed main-thread cycle
H07	executable BCL was omitted from MonoManaged/runtime	runtime pack contains BCL implementations elsewhere but packaging copies only CoreLib	Inventory original NuGet pack in GitHub Actions run 30206869295	163 executable BCL DLLs are under runtimes/ios-arm64/lib/net8.0; script copied dirname(CoreLib)=native only	confirmed	Direct cause of missing Roslyn and user-program dependencies
H08	C# handlers call fputs with a nil ios_system FILE pointer	dotnet --info and unsupported dotnet --run crash before Mono, while csrun errors are invisible	Trace Executor stream reset and all C# write paths	Executor sets thread_stdout/thread_stderr=nil before ios_system; C# write helpers passed those optionals directly to fputs	confirmed	Matches both --info output branch and --run error branch crashing immediately
H09	Mono root domain is created on an ephemeral ios_system command pthread	first managed command returns/cleans its pthread; reusing domain from second command crashes	Compare ios_system run_function/cleanup lifecycle with Mono host singleton	ios_system creates and destroys one pthread per command; host initialized singleton domain on that thread	confirmed	Move Mono initialization and every mono_jit_exec onto one persistent worker pthread
H10	Terminal executes xterm JavaScript before term is initialized and returns non-bridgeable objects	queued output after csrun produces term undefined / WKError 4 and term.write result produces WKError 5	Trace C# pipe through Executor callbacks to TerminalInstance.executeScript	C# uses normal Executor pipe; executeScript ignored isReady and directly evaluated term/localEcho calls while term.write returns an xterm object	confirmed	Queue until Init and wrap every script to return null
